t_s,q_deg,dq_deg_s,omega_rad_s,I_cmd_A,I_meas_A,adc,F_N,tau_Nm,mode
25980.214148727,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.218148917,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.222200241,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.226150035,0.0,0.0,0.0,0.0,11,0,0.0,0.0,RETURN
25980.230168934,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.234148451,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.238147748,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.242148232,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.246147739,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25980.250168531,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.254148223,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25980.25818891,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.262149841,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.26614854,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25980.270149218,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.274151866,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.278148331,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.282148347,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25980.286148813,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.290147878,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.294148476,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.298148294,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.302148154,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.3061484,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25980.310147974,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.314148264,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.318147843,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.322168789,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.326166555,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.33015352,0.0,0.0,0.0,0.0,-20,0,0.0,0.0,RETURN
25980.33415416,0.0,0.0,0.0,0.0,18,0,0.0,0.0,RETURN
25980.338148789,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.342148131,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25980.34614741,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.350147268,0.0,0.0,0.0,0.0,-12,0,0.0,0.0,RETURN
25980.354147799,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.358147817,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25980.362147416,0.0,0.0,0.0,0.0,-3,0,0.0,0.0,RETURN
25980.366148911,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.370148212,0.0,0.0,0.0,0.0,-15,0,0.0,0.0,RETURN
25980.374147986,0.0,0.0,0.0,0.0,2,0,0.0,0.0,RETURN
25980.378148498,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25980.382150973,0.0,0.0,0.0,0.0,18,0,0.0,0.0,RETURN
25980.386148267,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25980.390148391,0.0,0.0,0.0,0.0,-7,0,0.0,0.0,RETURN
25980.394148118,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.398148186,0.0,0.0,0.0,0.0,-9,0,0.0,0.0,RETURN
25980.402147686,0.0,0.0,0.0,0.0,-22,0,0.0,0.0,RETURN
25980.406147175,0.0,0.0,0.0,0.0,13,0,0.0,0.0,RETURN
25980.410148009,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,RETURN
25980.414148398,0.0,0.0,0.0,0.0,-4,0,0.0,0.0,RETURN
25980.418148618,0.0,0.0,0.0,0.0,-3,0,0.0,0.0,RETURN
25980.422174004,0.0,0.0,0.0,0.0,-12,0,0.0,0.0,RETURN
25980.426148651,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.430169993,0.0,0.0,0.0,0.0,5,0,0.0,0.0,RETURN
25980.434147738,0.0,0.0,0.0,0.0,-13,0,0.0,0.0,RETURN
25980.438166517,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.442167049,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25980.446257086,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.450268657,0.0,0.0,0.0,0.0,6,0,0.0,0.0,RETURN
25980.454137403,0.0,0.0,0.0,0.0,-22,0,0.0,0.0,RETURN
25980.458151092,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.462153637,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.466149808,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.470147954,0.0,0.0,0.0,0.0,4,0,0.0,0.0,RETURN
25980.474152541,0.0,0.0,0.0,0.0,11,0,0.0,0.0,RETURN
25980.478167487,0.0,0.0,0.0,0.0,3,0,0.0,0.0,RETURN
25980.482256331,0.0,0.0,0.0,0.0,0,0,0.0,0.0,RETURN
25980.486250637,0.0,0.0,0.0,0.0,1,0,0.0,0.0,RETURN
25980.490154306,-0.02197265625,-0.9,-0.015707963267948967,1.86591796875,0,0,0.0,0.0,RETURN
25980.494153715,-0.02197265625,0.0,0.0,0.06591796875,3,0,0.0,0.0,RETURN
25980.498150681,-0.0439453125,-1.6,-0.027925268031909273,3.3318359375,0,0,0.0,0.0,RETURN
25980.502152224,-0.0439453125,0.0,0.0,0.1318359375,1,0,0.0,0.0,RETURN
25980.506149347,-0.06591796875,0.0,0.0,0.19775390625,1,0,0.0,0.0,RETURN
25980.51017393,-0.087890625,-1.6,-0.027925268031909273,3.463671875,3,0,0.0,0.0,RETURN
25980.514148562,-0.087890625,0.0,0.0,0.263671875,-10,0,0.0,0.0,RETURN
25980.518147981,-0.1318359375,-0.9,-0.015707963267948967,2.1955078125,2,0,0.0,0.0,RETURN
25980.522193788,-0.15380859375,-1.6,-0.027925268031909273,3.66142578125,-21,0,0.0,0.0,RETURN
25980.52614913,-0.19775390625,-1.6,-0.027925268031909273,3.79326171875,2,0,0.0,0.0,RETURN
25980.530148013,-0.24169921875,-1.6,-0.027925268031909273,3.92509765625,1,0,0.0,0.0,RETURN
25980.534149123,-0.3076171875,-0.8,-0.013962634015954637,2.5228515625,7,0,0.0,0.0,RETURN
25980.538155136,-0.37353515625,-1.2000000000000002,-0.020943951023931956,3.5206054687500004,4,0,0.0,0.0,RETURN
25980.542153149,-0.439453125,-1.6,-0.027925268031909273,4.518359375,-1,0,0.0,0.0,RETURN
25980.546150553,-0.50537109375,-1.5,-0.026179938779914945,4.51611328125,3,0,0.0,0.0,RETURN
25980.550149645,-0.5712890625,-1.6,-0.027925268031909273,4.9138671875,2,0,0.0,0.0,RETURN
