
t_s,q_deg,dq_deg_s,omega_rad_s,I_cmd_A,I_meas_A,emg_phase,emg_raw,emg_ac,emg_rect,emg_env,emg_env_f,mode
5616.205331707,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
5616.209342334,0.02197265625,0.0,0.0,-0.06591796875,-1,NA,0,0,0,0.0,0.0,RELAX
5616.213337829,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5616.21733953,0.02197265625,0.0,0.0,-0.06591796875,-1,NA,0,0,0,0.0,0.0,RELAX
5616.221368123,0.02197265625,0.0,0.0,-0.06591796875,-1,NA,0,0,0,0.0,0.0,RELAX
5616.225334215,0.02197265625,0.0,0.0,-0.06591796875,7,NA,0,0,0,0.0,0.0,RELAX
5616.22933941,0.02197265625,0.0,0.0,-0.06591796875,-2,NA,0,0,0,0.0,0.0,RELAX
5616.233341586,0.02197265625,0.0,0.0,-0.06591796875,-3,NA,0,0,0,0.0,0.0,RELAX
5616.23734146,0.02197265625,0.0,0.0,-0.06591796875,-12,NA,0,0,0,0.0,0.0,RELAX
5616.241347585,0.02197265625,0.0,0.0,-0.06591796875,-9,NA,0,0,0,0.0,0.0,RELAX
5616.245359099,0.02197265625,0.0,0.0,-0.06591796875,-1,NA,0,0,0,0.0,0.0,RELAX
5616.249302569,0.02197265625,0.0,0.0,-0.06591796875,-4,NA,0,0,0,0.0,0.0,RELAX
5616.253333559,0.02197265625,0.0,0.0,-0.06591796875,-5,NA,0,0,0,0.0,0.0,RELAX
